200
15
25,0,0,0,0,50,0,0,0,0,75,0,0,0,50
0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75
1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,10.8,12.0,13.2,14.4,15.6,16.8
1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,10.8,12.0,13.2,14.4,15.6
2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,10.8,12.0,13.2,14.4
3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,10.8,12.0,13.2
4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,10.8,12.0
6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6,10.8
7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4,9.6
8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2,8.4
9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0,7.2
10.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8,6.0
12.0,10.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6,4.8
13.2,12.0,10.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4,3.6
14.4,13.2,12.0,10.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2,2.4
15.6,14.4,13.2,12.0,10.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0,1.2
16.8,15.6,14.4,13.2,12.0,10.8,9.6,8.4,7.2,6.0,4.8,3.6,2.4,1.2,0
5000.0
150
